FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
1,-17.9999633,-18.16663,-18.16663,-17.9999633,25.1666898,25.1666898,25.3333565,25.3333565
2,-17.8332966,-17.9999633,-17.9999633,-17.8332966,25.1666898,25.1666898,25.3333565,25.3333565
3,-17.6666299,-17.8332966,-17.8332966,-17.6666299,25.1666898,25.1666898,25.3333565,25.3333565
4,-17.4999632,-17.6666299,-17.6666299,-17.4999632,25.1666898,25.1666898,25.3333565,25.3333565
5,-17.3332965,-17.4999632,-17.4999632,-17.3332965,25.1666898,25.1666898,25.3333565,25.3333565
6,-17.1666298,-17.3332965,-17.3332965,-17.1666298,25.1666898,25.1666898,25.3333565,25.3333565
7,-16.9999631,-17.1666298,-17.1666298,-16.9999631,25.1666898,25.1666898,25.3333565,25.3333565
8,-16.8332964,-16.9999631,-16.9999631,-16.8332964,25.1666898,25.1666898,25.3333565,25.3333565
9,-16.6666297,-16.8332964,-16.8332964,-16.6666297,25.1666898,25.1666898,25.3333565,25.3333565
10,-16.499963,-16.6666297,-16.6666297,-16.499963,25.1666898,25.1666898,25.3333565,25.3333565
11,-16.3332963,-16.499963,-16.499963,-16.3332963,25.1666898,25.1666898,25.3333565,25.3333565
12,-16.1666296,-16.3332963,-16.3332963,-16.1666296,25.1666898,25.1666898,25.3333565,25.3333565
13,-15.9999629,-16.1666296,-16.1666296,-15.9999629,25.1666898,25.1666898,25.3333565,25.3333565
14,-15.8332962,-15.9999629,-15.9999629,-15.8332962,25.1666898,25.1666898,25.3333565,25.3333565
15,-15.6666295,-15.8332962,-15.8332962,-15.6666295,25.1666898,25.1666898,25.3333565,25.3333565
16,-15.4999628,-15.6666295,-15.6666295,-15.4999628,25.1666898,25.1666898,25.3333565,25.3333565
17,-15.3332961,-15.4999628,-15.4999628,-15.3332961,25.1666898,25.1666898,25.3333565,25.3333565
18,-15.1666294,-15.3332961,-15.3332961,-15.1666294,25.1666898,25.1666898,25.3333565,25.3333565
19,-14.9999627,-15.1666294,-15.1666294,-14.9999627,25.1666898,25.1666898,25.3333565,25.3333565
20,-14.833296,-14.9999627,-14.9999627,-14.833296,25.1666898,25.1666898,25.3333565,25.3333565
21,-14.6666293,-14.833296,-14.833296,-14.6666293,25.1666898,25.1666898,25.3333565,25.3333565
22,-14.4999626,-14.6666293,-14.6666293,-14.4999626,25.1666898,25.1666898,25.3333565,25.3333565
23,-14.3332959,-14.4999626,-14.4999626,-14.3332959,25.1666898,25.1666898,25.3333565,25.3333565
24,-14.1666292,-14.3332959,-14.3332959,-14.1666292,25.1666898,25.1666898,25.3333565,25.3333565
25,-13.9999625,-14.1666292,-14.1666292,-13.9999625,25.1666898,25.1666898,25.3333565,25.3333565
26,-13.8332958,-13.9999625,-13.9999625,-13.8332958,25.1666898,25.1666898,25.3333565,25.3333565
27,-13.6666291,-13.8332958,-13.8332958,-13.6666291,25.1666898,25.1666898,25.3333565,25.3333565
28,-13.4999624,-13.6666291,-13.6666291,-13.4999624,25.1666898,25.1666898,25.3333565,25.3333565
29,-13.3332957,-13.4999624,-13.4999624,-13.3332957,25.1666898,25.1666898,25.3333565,25.3333565
30,-13.166629,-13.3332957,-13.3332957,-13.166629,25.1666898,25.1666898,25.3333565,25.3333565
31,-12.9999623,-13.166629,-13.166629,-12.9999623,25.1666898,25.1666898,25.3333565,25.3333565
